<NFV-D-HNZJI-01A-1805-AC02-S-RT-01>display interface brief main
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
(mf): mac-flapping blocked
(c): CFM down
(sd): STP instance discarding
InUti/OutUti: input utility/output utility
Interface                   PHY   Protocol  InUti OutUti   inErrors  outErrors
Vbdif4508                   up    down         --     --          0          0
Vbdif4509                   up    up           --     --          0          0
Vbdif4510                   up    up           --     --          0          0
Vbdif4514                   up    up           --     --          0          0
Vbdif4515                   up    up           --     --          0          0
Vbdif4516                   up    up           --     --          0          0
Vbdif4522                   up    up           --     --          0          0
Vbdif4523                   up    up           --     --          0          0
Vbdif4525                   up    up           --     --          0          0
Vbdif4527                   up    down         --     --          0          0
Vbdif4528                   up    up           --     --          0          0
Vbdif4532                   up    up           --     --          0          0
Vbdif4533                   up    up           --     --          0          0
Vbdif4534                   up    up           --     --          0          0
Vbdif4536                   up    up           --     --          0          0
Vbdif4537                   up    up           --     --          0          0
Vbdif4545                   up    up           --     --          0          0
Vbdif4547                   up    down         --     --          0          0
Vbdif4548                   up    up           --     --          0          0
Vbdif4549                   up    up           --     --          0          0
Vbdif4552                   up    up           --     --          0          0
Vbdif4553                   up    up           --     --          0          0
Vbdif4555                   up    up           --     --          0          0
Vbdif4562                   up    up           --     --          0          0
Vbdif4563                   up    up           --     --          0          0
Vbdif4564                   up    down         --     --          0          0
Vbdif4566                   up    up           --     --          0          0
Vbdif4568                   up    up           --     --          0          0
Vbdif4573                   up    up           --     --          0          0
Vbdif4574                   up    down         --     --          0          0
Vbdif4575                   up    up           --     --          0          0
Vbdif4576                   up    up           --     --          0          0
Vbdif4577                   up    up           --     --          0          0
Vbdif4582                   up    up           --     --          0          0
Vbdif4584                   up    up           --     --          0          0
Vbdif4585                   up    up           --     --          0          0
Vbdif4586                   up    up           --     --          0          0
Vbdif4587                   up    down         --     --          0          0
Vbdif4588                   up    up           --     --          0          0
Vbdif4589                   up    up           --     --          0          0
Vbdif4590                   up    up           --     --          0          0
Vbdif4591                   up    up           --     --          0          0
Vbdif4592                   up    down         --     --          0          0
Vbdif4593                   up    down         --     --          0          0
Vbdif4598                   up    up           --     --          0          0
Vbdif4599                   up    up           --     --          0          0
Vbdif4602                   up    up           --     --          0          0
Vbdif4603                   up    up           --     --          0          0
Vbdif4604                   up    up           --     --          0          0
Vbdif4605                   up    up           --     --          0          0
Vbdif4606                   up    down         --     --          0          0
Vbdif4611                   up    up           --     --          0          0
Vbdif4612                   up    down         --     --          0          0
Vbdif4613                   up    up           --     --          0          0
Vbdif4614                   up    down         --     --          0          0
Vbdif4616                   up    up           --     --          0          0
Vbdif4618                   up    up           --     --          0          0
Vbdif4619                   up    up           --     --          0          0
Vbdif4620                   up    up           --     --          0          0
Vbdif4621                   up    up           --     --          0          0
Vbdif4622                   up    up           --     --          0          0
Vbdif4623                   up    down         --     --          0          0
Vbdif4624                   up    up           --     --          0          0
Vbdif4625                   up    down         --     --          0          0
Vbdif4626                   up    up           --     --          0          0
Vbdif4627                   up    up           --     --          0          0
Vbdif4628                   up    up           --     --          0          0
Vbdif4631                   up    up           --     --          0          0
Vbdif4632                   up    up           --     --          0          0
Vbdif4636                   up    down         --     --          0          0
Vbdif4641                   up    up           --     --          0          0
Vbdif4642                   up    up           --     --          0          0
Vbdif4645                   up    up           --     --          0          0
Vbdif4646                   up    up           --     --          0          0
Vbdif4647                   up    up           --     --          0          0
Vbdif4648                   up    down         --     --          0          0
Vbdif4649                   up    up           --     --          0          0
Vbdif4650                   up    up           --     --          0          0
Vbdif4652                   up    down         --     --          0          0
Vbdif4653                   up    up           --     --          0          0
Vbdif4655                   up    up           --     --          0          0
Vbdif4656                   up    up           --     --          0          0
Vbdif4657                   up    down         --     --          0          0
Vbdif4661                   up    down         --     --          0          0
Vbdif4662                   up    up           --     --          0          0
Vbdif4663                   up    up           --     --          0          0
Vbdif4667                   up    down         --     --          0          0
Vbdif4668                   up    up           --     --          0          0
Vbdif4669                   up    up           --     --          0          0
Vbdif4670                   up    up           --     --          0          0
Vbdif4671                   up    down         --     --          0          0
Vbdif4677                   up    up           --     --          0          0
Vbdif4684                   up    up           --     --          0          0
Vbdif4685                   up    up           --     --          0          0
Vbdif4686                   up    up           --     --          0          0
Vbdif4689                   up    up           --     --          0          0
Vbdif4690                   up    down         --     --          0          0
Vbdif4691                   up    up           --     --          0          0
Vbdif4696                   up    up           --     --          0          0
Vbdif4698                   up    up           --     --          0          0
Vbdif4699                   up    up           --     --          0          0
Vbdif4702                   up    down         --     --          0          0
Vbdif4705                   up    up           --     --          0          0
Vbdif4706                   up    up           --     --          0          0
Vbdif4707                   up    up           --     --          0          0
Vbdif4712                   up    up           --     --          0          0
Vbdif4713                   up    up           --     --          0          0
Vbdif4714                   up    up           --     --          0          0
Vbdif4715                   up    down         --     --          0          0
Vbdif4719                   up    down         --     --          0          0
Vbdif4720                   up    up           --     --          0          0
Vbdif4724                   up    up           --     --          0          0
Vbdif4725                   up    down         --     --          0          0
Vbdif4729                   up    down         --     --          0          0
Vbdif4730                   up    up           --     --          0          0
Vbdif4734                   up    up           --     --          0          0
Vbdif4736                   up    up           --     --          0          0
Vbdif4737                   up    up           --     --          0          0
Vbdif4743                   up    down         --     --          0          0
Vbdif4744                   up    up           --     --          0          0
Vbdif4745                   up    down         --     --          0          0
Vbdif4747                   up    down         --     --          0          0
Vbdif4748                   up    up           --     --          0          0
Vbdif4750                   up    up           --     --          0          0
Vbdif4751                   up    up           --     --          0          0
Vbdif4753                   up    up           --     --          0          0
Vbdif4756                   up    up           --     --          0          0
Vbdif4757                   up    down         --     --          0          0
Vbdif4758                   up    up           --     --          0          0
Vbdif4759                   up    up           --     --          0          0
Vbdif4762                   up    up           --     --          0          0
Vbdif4766                   up    up           --     --          0          0
Vbdif4767                   up    up           --     --          0          0
Vbdif4768                   up    up           --     --          0          0
Vbdif4769                   up    up           --     --          0          0
Vbdif4772                   up    up           --     --          0          0
Vbdif4773                   up    up           --     --          0          0
Vbdif4774                   up    down         --     --          0          0
Vbdif4775                   up    up           --     --          0          0
Vbdif4776                   up    down         --     --          0          0
Vbdif4777                   up    down         --     --          0          0
Vbdif4778                   up    up           --     --          0          0
Vbdif4788                   up    up           --     --          0          0
Vbdif4789                   up    up           --     --          0          0
Vbdif4790                   up    up           --     --          0          0
Vbdif4791                   up    down         --     --          0          0
Vbdif4792                   up    up           --     --          0          0
Vbdif4794                   up    up           --     --          0          0
Vbdif4795                   up    up           --     --          0          0
Vbdif4798                   up    up           --     --          0          0
Vbdif4803                   up    up           --     --          0          0
Vbdif4804                   up    up           --     --          0          0
Vbdif4805                   up    up           --     --          0          0
Vbdif4806                   up    down         --     --          0          0
Vbdif4808                   up    up           --     --          0          0
Vbdif4809                   up    up           --     --          0          0
Vbdif4810                   up    up           --     --          0          0
Vbdif4811                   up    down         --     --          0          0
Vbdif4822                   up    up           --     --          0          0
Vbdif4823                   up    up           --     --          0          0
Vbdif4825                   up    up           --     --          0          0
Vbdif4826                   up    up           --     --          0          0
Vbdif4828                   up    up           --     --          0          0
Vbdif4829                   up    down         --     --          0          0
Vbdif4830                   up    up           --     --          0          0
Vbdif4831                   up    up           --     --          0          0
Vbdif4833                   up    down         --     --          0          0
Vbdif4834                   up    up           --     --          0          0
Vbdif4835                   up    up           --     --          0          0
Vbdif4839                   up    up           --     --          0          0
Vbdif4840                   up    down         --     --          0          0
Vbdif4844                   up    up           --     --          0          0
Vbdif4845                   up    up           --     --          0          0
Vbdif4846                   up    up           --     --          0          0
Vbdif4847                   up    up           --     --          0          0
Vbdif4848                   up    up           --     --          0          0
Vbdif4849                   up    up           --     --          0          0
Vbdif4850                   up    down         --     --          0          0
Vbdif4851                   up    up           --     --          0          0
Vbdif4855                   up    up           --     --          0          0
Vbdif4857                   up    up           --     --          0          0
Vbdif4858                   up    down         --     --          0          0
Vbdif4860                   up    up           --     --          0          0
Vbdif4868                   up    up           --     --          0          0
Vbdif4869                   up    up           --     --          0          0
Vbdif4870                   up    up           --     --          0          0
Vbdif4872                   up    down         --     --          0          0
Vbdif4873                   up    up           --     --          0          0
Vbdif4877                   up    up           --     --          0          0
Vbdif4878                   up    down         --     --          0          0
Vbdif4882                   up    down         --     --          0          0
Vbdif4883                   up    up           --     --          0          0
Vbdif4889                   up    up           --     --          0          0
Vbdif4890                   up    up           --     --          0          0
Vbdif4891                   up    up           --     --          0          0
Vbdif4892                   up    down         --     --          0          0
Vbdif4894                   up    up           --     --          0          0
Vbdif4895                   up    up           --     --          0          0
Vbdif4896                   up    up           --     --          0          0
Vbdif4898                   up    up           --     --          0          0
Vbdif4901                   up    up           --     --          0          0
Vbdif4905                   up    up           --     --          0          0
Vbdif4906                   up    up           --     --          0          0
Vbdif4907                   up    up           --     --          0          0
Vbdif4911                   up    down         --     --          0          0
Vbdif4912                   up    up           --     --          0          0
Vbdif4915                   up    up           --     --          0          0
Vbdif4916                   up    up           --     --          0          0
Vbdif4921                   up    down         --     --          0          0
Vbdif4922                   up    up           --     --          0          0
Vbdif4923                   up    up           --     --          0          0
Vbdif4925                   up    up           --     --          0          0
Vbdif4930                   up    up           --     --          0          0
Vbdif4931                   up    up           --     --          0          0
Vbdif4932                   up    up           --     --          0          0
Vbdif4937                   up    up           --     --          0          0
Vbdif4938                   up    up           --     --          0          0
Vbdif4941                   up    up           --     --          0          0
Vbdif4942                   up    up           --     --          0          0
Vbdif4947                   up    up           --     --          0          0
Vbdif4949                   up    up           --     --          0          0
Vbdif4956                   up    down         --     --          0          0
Vbdif4957                   up    up           --     --          0          0
Vbdif4960                   up    up           --     --          0          0
Vbdif4961                   up    up           --     --          0          0
Vbdif4962                   up    up           --     --          0          0
Vbdif4963                   up    up           --     --          0          0
Vbdif4964                   up    up           --     --          0          0
Vbdif4965                   up    up           --     --          0          0
Vbdif4966                   up    down         --     --          0          0
Vbdif4967                   up    up           --     --          0          0
Vbdif4970                   up    up           --     --          0          0
Vbdif4971                   up    down         --     --          0          0
Vbdif4972                   up    up           --     --          0          0
Vbdif4975                   up    down         --     --          0          0
Vbdif4977                   up    up           --     --          0          0
Vbdif4978                   up    up           --     --          0          0
Vbdif4979                   up    up           --     --          0          0
Vbdif4981                   up    up           --     --          0          0
Vbdif4982                   up    up           --     --          0          0
Vbdif4983                   up    down         --     --          0          0
Vbdif4984                   up    up           --     --          0          0
Vbdif4987                   up    up           --     --          0          0
Vbdif4988                   up    up           --     --          0          0
Vbdif4989                   up    up           --     --          0          0
Vbdif4992                   up    up           --     --          0          0
Vbdif4993                   up    up           --     --          0          0
Vbdif4996                   up    down         --     --          0          0
Vbdif4998                   up    up           --     --          0          0
Vbdif5001                   up    down         --     --          0          0
Vbdif5002                   up    down         --     --          0          0
Vbdif5003                   up    down         --     --          0          0
Vbdif5004                   up    down         --     --          0          0
Vbdif5005                   up    down         --     --          0          0
Vbdif5006                   up    down         --     --          0          0
Vbdif5007                   up    up           --     --          0          0
Vbdif5008                   up    down         --     --          0          0
Vbdif5009                   up    down         --     --          0          0
Vbdif5010                   up    up           --     --          0          0
Vbdif5013                   up    down         --     --          0          0
Vbdif5014                   up    up           --     --          0          0
Vbdif5015                   up    up           --     --          0          0
Vbdif5016                   up    up           --     --          0          0
Vbdif5017                   up    up           --     --          0          0
Vbdif5018                   up    up           --     --          0          0
Vbdif5020                   up    down         --     --          0          0
Vbdif5021                   up    up           --     --          0          0
Vbdif5022                   up    down         --     --          0          0
Vbdif5023                   up    up           --     --          0          0
Vbdif5024                   up    up           --     --          0          0
Vbdif5025                   up    up           --     --          0          0
Vbdif5027                   up    up           --     --          0          0
Vbdif5028                   up    down         --     --          0          0
Vbdif5029                   up    up           --     --          0          0
Vbdif5036                   up    down         --     --          0          0
Vbdif5037                   up    down         --     --          0          0
Vbdif5038                   up    up           --     --          0          0
Vbdif5039                   up    up           --     --          0          0
Vbdif5041                   up    down         --     --          0          0
Vbdif5042                   up    up           --     --          0          0
Vbdif5044                   up    up           --     --          0          0
Vbdif5045                   up    up           --     --          0          0
Vbdif5049                   up    down         --     --          0          0
Vbdif5050                   up    down         --     --          0          0
Vbdif5052                   up    down         --     --          0          0
Vbdif5053                   up    up           --     --          0          0
Vbdif5058                   up    down         --     --          0          0
Vbdif5059                   up    down         --     --          0          0
Vbdif5061                   up    down         --     --          0          0
Vbdif5062                   up    up           --     --          0          0
Vbdif5067                   up    up           --     --          0          0
Vbdif5069                   up    up           --     --          0          0
Vbdif5070                   up    down         --     --          0          0
Vbdif5071                   up    down         --     --          0          0
Vbdif5072                   up    down         --     --          0          0
Vbdif5073                   up    up           --     --          0          0
Vbdif5075                   up    up           --     --          0          0
Vbdif5076                   up    up           --     --          0          0
Vbdif5077                   up    down         --     --          0          0
Vbdif5081                   up    down         --     --          0          0
Vbdif5083                   up    down         --     --          0          0
Vbdif5084                   up    down         --     --          0          0
Vbdif5089                   up    up           --     --          0          0
Vbdif5090                   up    down         --     --          0          0
Vbdif5091                   up    down         --     --          0          0
Vbdif5095                   up    down         --     --          0          0
Vbdif5096                   up    down         --     --          0          0
Vbdif5100                   up    down         --     --          0          0
Vbdif5101                   up    down         --     --          0          0
Vbdif5105                   up    down         --     --          0          0
Vbdif5106                   up    down         --     --          0          0
Vbdif5110                   up    down         --     --          0          0
Vbdif5111                   up    down         --     --          0          0
Vbdif5117                   up    down         --     --          0          0
Vbdif5119                   up    up           --     --          0          0
Vbdif5120                   up    up           --     --          0          0
Vbdif5121                   up    up           --     --          0          0
Vbdif5122                   up    up           --     --          0          0
Vbdif5125                   up    up           --     --          0          0
Vbdif5126                   up    up           --     --          0          0
Vbdif5127                   up    up           --     --          0          0
Vbdif5129                   up    up           --     --          0          0
Vbdif5130                   up    up           --     --          0          0
Vbdif5131                   up    up           --     --          0          0
Vbdif5132                   up    up           --     --          0          0
Vbdif5134                   up    up           --     --          0          0
Vbdif5139                   up    up           --     --          0          0
Vbdif5140                   up    up           --     --          0          0
Vbdif5141                   up    up           --     --          0          0
Vbdif5143                   up    up           --     --          0          0
Vbdif5144                   up    up           --     --          0          0
Vbdif5145                   up    down         --     --          0          0
Vbdif5146                   up    down         --     --          0          0
Vbdif5147                   up    up           --     --          0          0
Vbdif5148                   up    down         --     --          0          0
Vbdif5149                   up    down         --     --          0          0
Vbdif5156                   up    up           --     --          0          0
Vbdif5157                   up    up           --     --          0          0
Vbdif5158                   up    up           --     --          0          0
Vbdif5160                   up    up           --     --          0          0
Vbdif5164                   up    down         --     --          0          0
Vbdif5166                   up    up           --     --          0          0
Vbdif5167                   up    up           --     --          0          0
Vbdif5168                   up    up           --     --          0          0
Vbdif5170                   up    up           --     --          0          0
Vbdif5171                   up    up           --     --          0          0
Vbdif5172                   up    up           --     --          0          0
Vbdif5173                   up    up           --     --          0          0
Vbdif5174                   up    up           --     --          0          0
Vbdif5178                   up    up           --     --          0          0
Vbdif5179                   up    up           --     --          0          0
Vbdif5180                   up    up           --     --          0          0
Vbdif5181                   up    up           --     --          0          0
Vbdif5182                   up    up           --     --          0          0
Vbdif5186                   up    up           --     --          0          0
Vbdif5187                   up    up           --     --          0          0
Vbdif5188                   up    down         --     --          0          0
Vbdif5192                   up    down         --     --          0          0
Vbdif5193                   up    up           --     --          0          0
Vbdif5197                   up    up           --     --          0          0
Vbdif5198                   up    down         --     --          0          0
Vbdif5199                   up    up           --     --          0          0
Vbdif5200                   up    down         --     --          0          0
Vbdif5201                   up    up           --     --          0          0
Vbdif5209                   up    down         --     --          0          0
Vbdif5210                   up    up           --     --          0          0
Vbdif5211                   up    up           --     --          0          0
Vbdif5213                   up    up           --     --          0          0
Vbdif5215                   up    up           --     --          0          0
Vbdif5218                   up    up           --     --          0          0
Vbdif5219                   up    up           --     --          0          0
Vbdif5220                   up    up           --     --          0          0
Vbdif5222                   up    up           --     --          0          0
Vbdif5223                   up    up           --     --          0          0
Vbdif5225                   up    up           --     --          0          0
Vbdif5226                   up    up           --     --          0          0
Vbdif5228                   up    up           --     --          0          0
Vbdif5229                   up    up           --     --          0          0
Vbdif5230                   up    up           --     --          0          0
Vbdif5232                   up    up           --     --          0          0
Vbdif5233                   up    down         --     --          0          0
Vbdif5234                   up    up           --     --          0          0
Vbdif5235                   up    up           --     --          0          0
Vbdif5238                   up    up           --     --          0          0
Vbdif5244                   up    up           --     --          0          0
Vbdif5245                   up    up           --     --          0          0
Vbdif5246                   up    up           --     --          0          0
Vbdif5247                   up    up           --     --          0          0
Vbdif5248                   up    up           --     --          0          0
Vbdif5249                   up    up           --     --          0          0
Vbdif5250                   up    down         --     --          0          0
Vbdif5251                   up    up           --     --          0          0
Vbdif5252                   up    down         --     --          0          0
Vbdif5258                   up    up           --     --          0          0
Vbdif5259                   up    down         --     --          0          0
Vbdif5260                   up    up           --     --          0          0
Vbdif5264                   up    down         --     --          0          0
Vbdif5265                   up    up           --     --          0          0
Vbdif5270                   up    up           --     --          0          0
Vbdif5271                   up    down         --     --          0          0
Vbdif5272                   up    up           --     --          0          0
Vbdif5273                   up    up           --     --          0          0
Vbdif5280                   up    up           --     --          0          0
Vbdif5281                   up    up           --     --          0          0
Vbdif5283                   up    up           --     --          0          0
Vbdif5292                   up    down         --     --          0          0
Vbdif5293                   up    up           --     --          0          0
Vbdif5294                   up    up           --     --          0          0
Vbdif5295                   up    down         --     --          0          0
Vbdif5296                   up    down         --     --          0          0
Vbdif5297                   up    up           --     --          0          0
Vbdif5299                   up    up           --     --          0          0
Vbdif5300                   up    up           --     --          0          0
Vbdif5302                   up    up           --     --          0          0
Vbdif5303                   up    up           --     --          0          0
Virtual-Template0           up    up(s)        0%     0%          0          0
